
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2048,D3ELC01,,0.615054,0.272881,0.376927,0.413935,0.732959,0.561381,0.460434,0.752746,0.716691,0.270237,0.444763,0.271214,0.372036,0.408129,0.722311,0.55589,0.453859,0.7368,0.702661,0.267299,0.450809,0.273668,0.375446,0.416273,0.730456,0.561674,0.456193,0.746002,0.718007,0.271553,0.440139,0.267737,0.368497,0.406634,0.718043,0.554125,0.449351,0.727469,0.699287,0.26617
,DRC,2049,D3ELC01,,0.63243,0.279784,0.3865,0.424596,0.752937,0.576253,0.473116,0.774569,0.737533,0.278062,0.457143,0.27808,0.381483,0.418635,0.741994,0.570619,0.466357,0.758158,0.723093,0.275039,0.463358,0.280594,0.384977,0.427003,0.750361,0.576556,0.46875,0.767627,0.738887,0.279417,0.452391,0.274513,0.377856,0.417113,0.737618,0.568819,0.461725,0.748555,0.719622,0.273878
,DRC,2050,D3ELC01,,0.649805,0.286687,0.396074,0.435257,0.772916,0.591125,0.485799,0.796391,0.758374,0.285887,0.469523,0.284946,0.39093,0.429142,0.761677,0.585348,0.478854,0.779515,0.743524,0.282779,0.475908,0.287521,0.394507,0.437732,0.770267,0.591437,0.481308,0.789251,0.759767,0.28728,0.464642,0.28129,0.387216,0.427591,0.757192,0.583513,0.4741,0.769642,0.739957,0.281586

Time Dependent Production DEMAND (Energy Units)
,DRC
,Region,year ,fuel, ,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,Demand,2020,D3RES,,0.0313124,0.00952783,0.0133727,0.0154827,0.0333755,0.0232381,0.0216814,0.0413373,0.0397055,0.0147888,0.0216439,0.0094997,0.0131852,0.0152389,0.0328598,0.0230225,0.0213532,0.0404464,0.0389178,0.0146293,0.021944,0.00957472,0.0132883,0.015614,0.0332349,0.0232569,0.0214376,0.0409528,0.0397806,0.0148638,0.0214189,0.00936841,0.0130726,0.0152389,0.0327097,0.0230131,0.0211469,0.0399306,0.0387396,0.0145731
,Demand,2020,D3IND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Demand,2020,D3OTH,,0.00843893,0.0135543,0.0182456,0.0182456,0.0189112,0.0197091,0.0102717,0.00355156,0.0025987,0.00139053,0.00834775,0.0134038,0.0180404,0.0180496,0.0187061,0.0194902,0.0101668,0.00351052,0.00257134,0.0013723,0.00844805,0.0135497,0.0182456,0.0182502,0.0189067,0.0197045,0.0102763,0.00355156,0.0025987,0.00139053,0.00826113,0.0132534,0.0178398,0.0178581,0.0184964,0.0192851,0.0100529,0.00347405,0.00253943,0.00135406
