
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2043,D3ELC01,,0.951856,0.553273,0.757863,0.808359,1.25253,1.02908,0.765354,1.07448,1.01257,0.387283,0.718288,0.548989,0.748452,0.797819,1.23526,1.01866,0.754983,1.05218,0.993059,0.383031,0.727876,0.554286,0.755844,0.81161,1.24905,1.02941,0.759628,1.06528,1.01436,0.389079,0.710823,0.542237,0.740945,0.793224,1.22664,1.01351,0.74731,1.03896,0.988029,0.381246
,DRC,2044,D3ELC01,,0.993123,0.57727,0.790734,0.843418,1.30684,1.0737,0.798539,1.12106,1.05646,0.404071,0.749431,0.572801,0.780915,0.832422,1.28883,1.06284,0.787719,1.09779,1.0361,0.399634,0.759435,0.578327,0.788627,0.84681,1.30322,1.07406,0.792566,1.11146,1.05833,0.405944,0.741642,0.565756,0.773082,0.827627,1.27983,1.05747,0.779714,1.08399,1.03086,0.397772
,DRC,2045,D3ELC01,,1.03439,0.601268,0.823605,0.878478,1.36115,1.11833,0.831725,1.16763,1.10035,0.420859,0.780574,0.596613,0.813377,0.867024,1.34239,1.10701,0.820455,1.1434,1.07915,0.416237,0.790994,0.602368,0.82141,0.882011,1.35738,1.1187,0.825503,1.15763,1.1023,0.42281,0.772462,0.589275,0.805219,0.86203,1.33302,1.10142,0.812117,1.12903,1.07368,0.414298
,DRC,2046,D3ELC01,,1.07566,0.625265,0.856476,0.913537,1.41547,1.16296,0.864911,1.21421,1.14424,0.437646,0.811717,0.620424,0.84584,0.901627,1.39595,1.15119,0.853191,1.189,1.1222,0.432841,0.822553,0.62641,0.854194,0.917211,1.41154,1.16334,0.858441,1.20381,1.14627,0.439675,0.803281,0.612793,0.837356,0.896434,1.38621,1.14537,0.84452,1.17407,1.11651,0.430824
,DRC,2047,D3ELC01,,1.11692,0.649263,0.889347,0.948597,1.46978,1.20759,0.898096,1.26078,1.18813,0.454434,0.84286,0.644236,0.878303,0.936229,1.44952,1.19537,0.885927,1.23461,1.16524,0.449444,0.854112,0.650451,0.886977,0.952412,1.4657,1.20799,0.891378,1.24999,1.19024,0.456541,0.834101,0.636312,0.869494,0.930837,1.4394,1.18933,0.876923,1.2191,1.15934,0.44735
,DRC,2048,D3ELC01,,1.15819,0.673261,0.922218,0.983657,1.52409,1.25221,0.931282,1.30736,1.23202,0.471222,0.874003,0.668048,0.910766,0.970832,1.50308,1.23954,0.918663,1.28022,1.20829,0.466047,0.88567,0.674493,0.919761,0.987613,1.51986,1.25263,0.924315,1.29617,1.23421,0.473406,0.86492,0.659831,0.901631,0.96524,1.49259,1.23328,0.909327,1.26414,1.20217,0.463876
,DRC,2049,D3ELC01,,1.19946,0.697258,0.955089,1.01872,1.5784,1.29684,0.964467,1.35394,1.27591,0.48801,0.905147,0.691859,0.943229,1.00543,1.55665,1.28372,0.951398,1.32583,1.25133,0.482651,0.917229,0.698534,0.952544,1.02281,1.57402,1.29727,0.957253,1.34234,1.27817,0.490272,0.89574,0.68335,0.933768,0.999643,1.54578,1.27723,0.94173,1.30917,1.24499,0.480402
,DRC,2050,D3ELC01,,1.24072,0.721256,0.98796,1.05378,1.63272,1.34147,0.997653,1.40051,1.3198,0.504797,0.93629,0.715671,0.975691,1.04004,1.61021,1.3279,0.984134,1.37144,1.29438,0.499254,0.948788,0.722576,0.985328,1.05801,1.62819,1.34191,0.99019,1.38852,1.32214,0.507137,0.926559,0.706869,0.965905,1.03405,1.59897,1.32119,0.974133,1.35421,1.28782,0.496928

Time Dependent Production DEMAND (Energy Units)
